Dia,Date,V0,Rendimiento_Promedio,Desviacion_Estandar,VaR_1pct,VaR_5pct,VaR_1pct_pct,VaR_5pct_pct
52,2025-09-18,902592.1852000001,0.0007683065284380276,0.01460731931731959,-29973.568494246996,-20994.95650346157,-3.3208318203647345,-2.3260733748552695
53,2025-09-17,882051.8657,0.0007753062540248224,0.014603113694933709,-29276.656431003954,-20504.897225165372,-3.3191536200390983,-2.324681577414113
54,2025-09-16,892308.4931699999,0.0007906570987911276,0.01460326080800222,-29603.697298385454,-20729.849404807752,-3.3176527540622036,-2.323170693037252
55,2025-09-15,898374.8888,0.0007915254671538819,0.014603829890820113,-29805.368286578137,-20870.843015654562,-3.317698285889371,-2.3231774703245205
56,2025-09-12,889552.546835,0.0007822090753197062,0.014604094213989059,-29521.503929377173,-20674.55856262976,-3.318691406641885,-2.3241525906692293
57,2025-09-11,885099.4906849999,0.00077744449113543,0.0146036924703623,-29377.110782386248,-20574.694939624747,-3.3190744194927277,-2.3245629622610555
58,2025-09-10,881228.89628,0.0007680534575016512,0.014599483601800417,-29248.29144424611,-20486.894919368107,-3.319034540028612,-2.3248097067460027
59,2025-09-09,870774.5048999999,0.0007791789116984886,0.014605804052194537,-28904.420397631904,-20243.216017132727,-3.3193921313706007,-2.324736875416152
60,2025-09-08,867738.75557,0.000787073894769121,0.014609455013766827,-28804.17014651909,-20171.003543228573,-3.319451846725252,-2.3245479602877306
61,2025-09-05,864639.8498000001,0.0008007153299588731,0.014604181127174253,-28678.901944133817,-20079.67184330625,-3.3168609971848437,-2.3223162624242772
62,2025-09-04,874847.825405,0.000780635443445243,0.01460873504783963,-29044.3199057661,-20340.85382548377,-3.3199282277829734,-2.325073371025095
63,2025-09-03,868316.927005,0.0007683495362273569,0.014610882511373225,-28842.50407066352,-20202.741103947857,-3.321656318522677,-2.32665521949816
